,Name,Distance,Rating,Station Name
0,De Binnenkomer,599.4072940907039,4.7,Alkmaar
1,Vers Eten & Drinken,77.34336015072499,4.5,Alkmaar
2,Daikichi,54.04131208278735,4.0,Alkmaar
3,Burger King,38.753209797124605,3.0,Alkmaar
4,Deli,1009.748379483375,4.8,Alkmaar
5,Anne & Max,1050.9389047964175,4.8,Alkmaar
6,De Buren,1060.7939670377473,4.1,Alkmaar
7,King Sing,212.2733144925375,3.0,Alkmaar
8,Aloha,852.7449434363177,4.0,Alkmaar
9,Stadsstrand de Kade,620.6513341917654,5.0,Alkmaar
10,Alkmaars Koffiehuis,723.9196172713763,5.0,Alkmaar
11,Schots Restaurant Hielander,1008.5839781538273,3.8,Alkmaar
12,Saladebar Oogst,479.2986157354422,5.0,Alkmaar
13,Irish Pub Gunnery's,1101.3625315377635,5.0,Alkmaar
14,Mojo's,942.0027393749233,5.0,Alkmaar
15,Het Grand Cafeetje,935.7281656931732,4.0,Alkmaar
16,Horecacentrum De Studio,516.498093746401,5.0,Alkmaar
17,Vito,1485.8453538466451,4.3,Alkmaar
18,Abby's,852.017140325663,4.3,Alkmaar
19,Proeflokaal Bregje,525.2107427451322,2.3,Alkmaar
20,restaurant zegels,744.6440355872974,4.7,Alkmaar
21,Meat & Co,1020.6355087576528,4.3,Alkmaar
22,Fresh Food,93.87041630226362,0.0,Alkmaar
23,Petershoek Café,90.49918999393957,0.0,Alkmaar
24,Burgers & Zo,566.070511391871,3.5,Alkmaar
25,Pizzeria Ristorante La Famiglia,499.8180731679537,4.0,Alkmaar
26,Heeren van Sonoy,811.7969541676354,3.0,Alkmaar
27,Gulden Vlies,749.6198242086455,4.0,Alkmaar
28,La Cubanita Alkmaar,1019.1139257354848,5.0,Alkmaar
29,SuperThai Restaurant ,749.6106910535735,3.3,Alkmaar
30,Café-Bar Odeon,1117.6786219087742,4.0,Alkmaar
31,Grand Café Klunder,491.1964571528282,0.0,Alkmaar
32,1480 Food Bar,1019.4541370951409,4.0,Alkmaar
33,Restaurant Tapas &,1057.2459116972116,5.0,Alkmaar
34,Happy Italy,518.4117475871739,3.3,Alkmaar
35,Granada Grand Cafe & Restaurant,597.1834813755764,5.0,Alkmaar
36,Proeflokaal De Boom,942.184391949158,0.0,Alkmaar
37,Kunchai,994.5218072237367,4.5,Alkmaar
38,Cafe De Pilaren,1085.9413393183647,5.0,Alkmaar
39,Moeke,484.4824365505958,0.0,Alkmaar
40,De Amstelhoek,967.9020076874574,4.0,Alkmaar
41,Il Colosseo,738.3859911669595,5.0,Alkmaar
42,Rue de la Plume,789.023446360917,5.0,Alkmaar
43,'t Friethuys,937.8352468571736,5.0,Alkmaar
44,Taormina,1149.6070313784464,5.0,Alkmaar
45,Ristobar Italica,1083.0744620729238,2.4,Alkmaar
46,Le Bon,1008.7088239418918,4.0,Alkmaar
47,De Bonte Bengel,574.7221520255662,2.8,Alkmaar
48,Subway,861.8243738210845,5.0,Alkmaar
49,Cafe Bali,920.3244724023469,3.7,Alkmaar
50,De Binnenkomer,599.4072940907039,4.7,Amsterdam Noord
51,Vers Eten & Drinken,77.34336015072499,4.5,Amsterdam Noord
52,Daikichi,54.04131208278735,4.0,Amsterdam Noord
53,Burger King,38.753209797124605,3.0,Amsterdam Noord
54,Deli,1009.748379483375,4.8,Amsterdam Noord
55,Anne & Max,1050.9389047964175,4.8,Amsterdam Noord
56,De Buren,1060.7939670377473,4.1,Amsterdam Noord
57,King Sing,212.2733144925375,3.0,Amsterdam Noord
58,Aloha,852.7449434363177,4.0,Amsterdam Noord
